geohash,slot,demand
qp02yc,4,0.0053969651097159
qp02yc,10,0.0129439850184506
qp02yc,11,0.0259607969559818
qp02yc,14,0.0264223751676618
qp02yc,26,0.0083874600308591
qp02yc,27,0.0207801659494344
qp02yc,28,0.0048529502538927
qp02yc,29,0.0270921773461201
qp02yc,30,0.0048242087709441
qp02yc,36,0.0173624610652884
qp02yc,42,0.0467898196882919
qp02yc,43,0.0211583701887309
qp02yf,45,0.0294325672228641
qp02yy,17,0.003916465292585
qp02yy,35,0.0018866761693395
qp02yz,8,0.0192796497178961
qp02yz,9,0.0132862667702871
qp02yz,12,0.0111982284104744
qp02yz,16,0.0127001668985481
qp02yz,18,0.0184696879861445
qp02yz,19,0.0391622026354765
qp02yz,21,0.0196472291738797
qp02yz,22,0.0514634638416079
qp02yz,23,0.0594839128192288
qp02yz,24,0.0292582563639412
qp02yz,25,0.1110026551694169
qp02yz,26,0.0351604990318895
qp02yz,27,0.05026684172496
qp02yz,28,0.0374941766767061
qp02yz,29,0.0279828519817908
qp02yz,31,0.0204809497046706
qp02yz,32,0.0453706558099819
qp02yz,34,0.0258376604759859
qp02yz,35,0.015096940365722
qp02yz,36,0.0179313103195961
qp02yz,40,0.0694517082792081
qp02yz,41,0.0612257913555646
qp02yz,42,0.0593297276920125
qp02yz,43,0.0352743419910887
qp02yz,44,0.0338303171957378
qp02yz,45,0.0393525487090996
qp02yz,47,0.0116597050183685
qp02yz,50,0.0254851384402304
qp02yz,60,0.061123859253908
qp02yz,61,0.0396040373729323
qp02z1,0,0.03815743081196435
qp02z1,1,0.0163450566075529
qp02z1,2,0.03413803062802
qp02z1,3,0.05041947913173245
qp02z1,4,0.0711517487029702
qp02z1,5,0.0586415292359579
qp02z1,6,0.05883772184228485
qp02z1,7,0.07062401595717414
qp02z1,8,0.0481153591579776
qp02z1,10,0.0863769822654583
qp02z1,12,0.0807142531939875
qp02z1,13,0.0112769343698039
qp02z1,14,0.044337805293534
qp02z1,15,0.0460109541772053
qp02z1,17,0.009132985110858
qp02z1,19,0.0108581692822555
qp02z1,20,0.0256039298611696
qp02z1,22,0.0144522751459568
qp02z1,24,0.0075353280884083
qp02z1,27,0.0099323628405792
qp02z1,32,0.0049038144322857
qp02z1,33,0.0442302176227258
qp02z1,34,0.0086920349420626
qp02z1,49,0.0575739874652212
qp02z1,52,0.0012173845841896
qp02z3,2,0.0302598747774543
qp02z3,4,0.0086932030887789
qp02z3,7,0.0201250984908776
qp02z3,8,0.0033121644326572
qp02z3,9,0.0190383987957044
qp02z3,14,0.0017568655196992
qp02z3,16,0.0092571996867808
qp02z3,22,0.0131922226210897
qp02z3,23,0.0390185023783535
qp02z3,24,0.0455128693560862
qp02z3,25,0.0183676250867738
qp02z3,27,0.0547034594506254
qp02z3,29,0.0199439954297766
qp02z3,30,0.0227554630594059
qp02z3,36,0.0279934133173811
qp02z3,43,0.0301821910065281
qp02z3,46,0.0125806121037007
qp02z3,48,7.337489895908541e-05
qp02z3,50,0.010137696135638
qp02z3,52,0.0119368719679375
qp02z3,56,0.0351050729761804
qp02z3,64,0.0318061913300598
qp02z3,65,0.0113395058798781
qp02z3,67,0.0078411757700054
qp02z3,68,0.0154224795804711
qp02z4,13,0.0074699949588219
qp02z4,20,0.0441335081914785
qp02z4,28,0.0019373305363215
qp02z4,46,0.0143565422351503
qp02z4,47,0.0162064532666327
qp02z4,48,0.017098370164363
qp02z4,49,0.0350812448861212
qp02z4,51,0.0666863876097174
qp02z4,57,0.0066876621716386
qp02z5,1,0.007948687924885
qp02z5,3,0.0234050078627375
